unique_id1,PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_AC,PCP_BS,PCP_NE_pH,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_SS_HE,PCP_SS_ST,PCP_SS_CO,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN,PCP_TN,PCP_SM,PCP_LR,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5,result
Q5T2E6,0.135,0.116,0.749,0.218,0.476,0.392,0.033,0.08,0.116,0.135,0.749,0.52,0.224,0.306,0.125,0.061,0.48,0.284,0.235,0.425,0.3,0.267,0.186,0.438,0.562,-0.15,-0.381,-0.322,-0.408,0.077,0
P29466,0.136,0.136,0.728,0.235,0.453,0.366,0.045,0.067,0.136,0.136,0.728,0.488,0.22,0.384,0.146,0.067,0.431,0.285,0.285,0.401,0.329,0.265,0.23,0.495,0.505,0.27,-0.486,-0.223,-0.475,0.081,1
Q5TC12,0.131,0.116,0.753,0.216,0.503,0.427,0.04,0.095,0.116,0.131,0.753,0.494,0.204,0.357,0.101,0.034,0.494,0.271,0.235,0.466,0.311,0.198,0.259,0.482,0.518,0.172,-0.535,-0.353,-0.464,0.138,0
P25963,0.107,0.164,0.729,0.233,0.457,0.404,0.05,0.06,0.164,0.107,0.729,0.473,0.196,0.416,0.107,0.044,0.508,0.224,0.268,0.413,0.356,0.237,0.202,0.461,0.539,0.239,-0.468,-0.231,-0.608,0.152,1
O14920,0.134,0.136,0.73,0.245,0.442,0.369,0.044,0.062,0.136,0.134,0.73,0.47,0.221,0.388,0.122,0.053,0.511,0.237,0.253,0.393,0.361,0.23,0.192,0.433,0.567,0.208,-0.342,-0.389,-0.497,0.118,1
Q9H269,0.149,0.131,0.72,0.2,0.497,0.427,0.042,0.085,0.131,0.149,0.72,0.498,0.213,0.33,0.094,0.042,0.522,0.241,0.237,0.456,0.302,0.218,0.237,0.458,0.542,0.079,-0.409,-0.321,-0.361,0.194,1
P05015,0.122,0.111,0.767,0.254,0.481,0.36,0.016,0.116,0.111,0.122,0.767,0.503,0.169,0.349,0.127,0.063,0.487,0.28,0.233,0.455,0.28,0.228,0.233,0.418,0.582,-0.119,-0.328,-0.271,-0.425,0.089,1
Q8N884,0.19,0.121,0.69,0.201,0.452,0.379,0.073,0.079,0.121,0.19,0.69,0.464,0.299,0.33,0.119,0.038,0.494,0.22,0.285,0.387,0.37,0.245,0.241,0.479,0.521,0.392,-0.27,-0.284,-0.276,0.209,1
Q16552,0.155,0.084,0.761,0.213,0.445,0.4,0.09,0.052,0.084,0.155,0.761,0.503,0.348,0.271,0.135,0.058,0.361,0.297,0.342,0.374,0.329,0.316,0.187,0.555,0.445,0.188,-0.281,-0.153,-0.256,-0.003,1
Q2M3G4,0.117,0.114,0.769,0.214,0.54,0.5,0.124,0.041,0.114,0.117,0.769,0.522,0.257,0.381,0.127,0.027,0.494,0.162,0.344,0.421,0.329,0.291,0.3,0.576,0.424,0.311,-0.612,-0.113,-0.391,0.43,0
Q6B0K9,0.113,0.085,0.801,0.206,0.582,0.496,0.035,0.085,0.085,0.113,0.801,0.603,0.163,0.291,0.085,0.035,0.56,0.262,0.177,0.539,0.241,0.213,0.241,0.482,0.518,-0.377,-0.601,-0.325,-0.291,0.32,0
P08238,0.166,0.203,0.631,0.184,0.409,0.341,0.032,0.075,0.203,0.166,0.631,0.417,0.236,0.392,0.113,0.035,0.492,0.254,0.254,0.359,0.406,0.222,0.174,0.42,0.58,0.446,-0.289,-0.389,-0.606,0.103,1
Q6NY19,0.114,0.141,0.744,0.206,0.518,0.491,0.083,0.021,0.141,0.114,0.744,0.474,0.218,0.426,0.132,0.027,0.524,0.136,0.34,0.432,0.311,0.25,0.343,0.588,0.412,0.636,-0.77,-0.172,-0.556,0.379,0
P52630,0.128,0.136,0.736,0.231,0.469,0.396,0.068,0.076,0.136,0.128,0.736,0.486,0.231,0.378,0.116,0.033,0.496,0.235,0.269,0.398,0.374,0.244,0.161,0.417,0.583,-0.026,-0.286,-0.375,-0.496,0.208,1
Q6NVV7,0.138,0.106,0.756,0.309,0.423,0.35,0.089,0.081,0.106,0.138,0.756,0.512,0.252,0.341,0.154,0.106,0.407,0.301,0.293,0.39,0.317,0.309,0.26,0.528,0.472,0.182,-0.393,-0.016,-0.373,0.024,0
Q5T0L3,0.13,0.107,0.762,0.31,0.421,0.349,0.065,0.092,0.107,0.13,0.762,0.456,0.226,0.383,0.169,0.065,0.425,0.249,0.326,0.383,0.314,0.31,0.307,0.513,0.487,0.357,-0.33,0.007,-0.383,0.143,0
Q70EL3,0.124,0.106,0.77,0.31,0.419,0.336,0.041,0.124,0.106,0.124,0.77,0.525,0.206,0.336,0.145,0.074,0.395,0.369,0.236,0.428,0.304,0.277,0.218,0.478,0.522,-0.04,-0.319,-0.085,-0.399,-0.049,1
P0CG48,0.158,0.145,0.698,0.223,0.448,0.409,0.039,0.039,0.145,0.158,0.698,0.461,0.223,0.434,0.131,0.013,0.473,0.277,0.25,0.396,0.381,0.21,0.145,0.422,0.578,0.233,-0.586,-0.696,-0.642,0.206,1
P13164,0.112,0.064,0.824,0.216,0.576,0.472,0.04,0.104,0.064,0.112,0.824,0.6,0.184,0.288,0.136,0.056,0.384,0.384,0.232,0.528,0.2,0.28,0.224,0.48,0.52,-0.598,-0.67,-0.31,-0.264,0.052,1
P49792,0.141,0.136,0.722,0.251,0.425,0.348,0.054,0.083,0.136,0.141,0.722,0.448,0.241,0.404,0.161,0.039,0.421,0.261,0.318,0.38,0.366,0.271,0.25,0.525,0.475,0.452,-0.407,-0.141,-0.498,0.121,1
Q99623,0.151,0.104,0.746,0.207,0.502,0.448,0.033,0.064,0.104,0.151,0.746,0.478,0.221,0.348,0.107,0.017,0.525,0.237,0.237,0.452,0.311,0.191,0.237,0.448,0.552,0.149,-0.531,-0.586,-0.479,0.245,1
Q15847,0.105,0.118,0.776,0.289,0.474,0.421,0.0,0.026,0.118,0.105,0.776,0.474,0.118,0.5,0.145,0.026,0.579,0.197,0.224,0.447,0.382,0.171,0.329,0.553,0.447,0.682,-1.021,-0.418,-0.732,0.365,0
Q6VUC0,0.129,0.088,0.783,0.181,0.586,0.543,0.104,0.052,0.088,0.129,0.783,0.545,0.249,0.317,0.102,0.036,0.518,0.161,0.321,0.486,0.287,0.276,0.337,0.566,0.434,0.072,-0.754,-0.067,-0.277,0.421,0
Q5VXH4,0.139,0.103,0.758,0.233,0.489,0.401,0.053,0.074,0.103,0.139,0.758,0.569,0.227,0.29,0.109,0.088,0.498,0.277,0.225,0.462,0.296,0.227,0.189,0.433,0.567,-0.273,-0.35,-0.303,-0.318,0.084,0
Q15612,0.102,0.032,0.866,0.264,0.57,0.427,0.038,0.137,0.032,0.102,0.866,0.65,0.172,0.255,0.166,0.089,0.357,0.433,0.21,0.513,0.146,0.344,0.22,0.468,0.532,-0.858,-0.576,-0.204,-0.162,-0.029,0
O75694,0.114,0.109,0.777,0.241,0.497,0.425,0.058,0.073,0.109,0.114,0.777,0.506,0.211,0.354,0.129,0.046,0.455,0.258,0.287,0.434,0.313,0.263,0.229,0.482,0.518,-0.034,-0.474,-0.247,-0.461,0.198,1
Q6ZMV9,0.167,0.144,0.689,0.232,0.415,0.357,0.037,0.054,0.144,0.167,0.689,0.435,0.246,0.391,0.138,0.034,0.509,0.229,0.263,0.369,0.364,0.247,0.2,0.428,0.572,0.396,-0.335,-0.425,-0.49,0.177,0
P15880,0.177,0.075,0.747,0.181,0.553,0.481,0.055,0.072,0.075,0.177,0.747,0.495,0.246,0.362,0.119,0.041,0.406,0.29,0.304,0.491,0.246,0.235,0.297,0.549,0.451,0.248,-0.839,-0.423,-0.225,0.119,1
Q6P9H5,0.13,0.171,0.699,0.226,0.438,0.39,0.041,0.055,0.171,0.13,0.699,0.418,0.205,0.445,0.113,0.024,0.524,0.216,0.26,0.394,0.373,0.202,0.212,0.445,0.555,0.496,-0.462,-0.461,-0.666,0.147,0
Q9UBF8,0.137,0.129,0.734,0.233,0.462,0.397,0.053,0.066,0.129,0.137,0.734,0.467,0.229,0.377,0.142,0.039,0.447,0.252,0.3,0.402,0.321,0.271,0.227,0.488,0.512,0.214,-0.435,-0.283,-0.473,0.173,1
Q5J5C9,0.145,0.079,0.776,0.329,0.434,0.395,0.053,0.053,0.079,0.145,0.776,0.618,0.211,0.316,0.197,0.105,0.434,0.382,0.184,0.434,0.276,0.316,0.211,0.539,0.461,-0.239,-0.8,-0.379,-0.405,-0.016,0
Q32MH5,0.153,0.116,0.73,0.29,0.378,0.317,0.058,0.072,0.116,0.153,0.73,0.425,0.273,0.396,0.187,0.039,0.407,0.259,0.334,0.33,0.36,0.318,0.222,0.504,0.496,0.468,-0.258,-0.189,-0.465,0.105,0
Q15935,0.218,0.092,0.69,0.347,0.321,0.261,0.04,0.097,0.092,0.218,0.69,0.4,0.281,0.378,0.171,0.095,0.431,0.31,0.259,0.354,0.281,0.338,0.306,0.503,0.497,0.788,-0.295,-0.031,-0.108,-0.136,0
Q99570,0.141,0.116,0.744,0.226,0.477,0.404,0.055,0.078,0.116,0.141,0.744,0.5,0.236,0.345,0.131,0.039,0.446,0.278,0.277,0.417,0.32,0.265,0.21,0.482,0.518,0.064,-0.395,-0.297,-0.392,0.169,1
P14678,0.133,0.05,0.817,0.117,0.688,0.596,0.196,0.025,0.05,0.133,0.817,0.571,0.342,0.312,0.062,0.088,0.408,0.167,0.425,0.429,0.333,0.35,0.3,0.617,0.383,0.023,-0.871,-0.033,0.008,0.389,1
Q6UXK5,0.112,0.106,0.782,0.253,0.448,0.38,0.043,0.07,0.106,0.112,0.782,0.508,0.236,0.339,0.156,0.049,0.42,0.289,0.291,0.395,0.332,0.284,0.189,0.499,0.501,0.002,-0.399,-0.254,-0.516,0.069,0
P01574,0.15,0.096,0.754,0.257,0.428,0.332,0.005,0.123,0.096,0.15,0.754,0.476,0.225,0.305,0.112,0.053,0.513,0.294,0.193,0.422,0.299,0.225,0.16,0.342,0.658,-0.176,-0.107,-0.469,-0.364,-0.066,1
Q6Q8B3,0.122,0.059,0.819,0.28,0.487,0.424,0.048,0.07,0.059,0.122,0.819,0.546,0.221,0.347,0.185,0.048,0.351,0.373,0.277,0.45,0.251,0.303,0.229,0.535,0.465,-0.127,-0.682,-0.361,-0.399,0.032,0
Q6UW49,0.137,0.14,0.723,0.243,0.429,0.386,0.083,0.057,0.14,0.137,0.723,0.483,0.271,0.377,0.18,0.026,0.423,0.269,0.309,0.337,0.38,0.334,0.2,0.523,0.477,0.27,-0.44,-0.253,-0.544,0.199,0
Q03135,0.129,0.124,0.747,0.197,0.511,0.41,0.039,0.135,0.124,0.129,0.747,0.522,0.208,0.303,0.107,0.034,0.36,0.388,0.253,0.472,0.292,0.247,0.185,0.455,0.545,-0.3,-0.347,-0.242,-0.366,0.035,1
P55735,0.118,0.124,0.758,0.242,0.466,0.388,0.031,0.087,0.124,0.118,0.758,0.457,0.199,0.401,0.152,0.04,0.348,0.311,0.342,0.45,0.295,0.258,0.289,0.571,0.429,0.361,-0.506,-0.042,-0.378,0.026,1
Q9NRW7,0.151,0.123,0.726,0.225,0.451,0.386,0.035,0.081,0.123,0.151,0.726,0.463,0.237,0.34,0.123,0.039,0.472,0.277,0.251,0.402,0.328,0.247,0.188,0.446,0.554,0.096,-0.375,-0.447,-0.474,0.088,1
P62280,0.241,0.076,0.684,0.222,0.424,0.348,0.038,0.095,0.076,0.241,0.684,0.449,0.316,0.304,0.108,0.044,0.449,0.342,0.209,0.38,0.335,0.234,0.152,0.411,0.589,0.233,-0.278,-0.725,-0.153,-0.011,1
O60603,0.129,0.115,0.756,0.242,0.452,0.364,0.032,0.091,0.115,0.129,0.756,0.501,0.223,0.341,0.159,0.047,0.44,0.282,0.278,0.423,0.305,0.263,0.196,0.445,0.555,-0.095,-0.312,-0.273,-0.466,0.06,1
Q2TAC6,0.176,0.133,0.69,0.232,0.428,0.391,0.05,0.035,0.133,0.176,0.69,0.422,0.257,0.406,0.143,0.031,0.519,0.19,0.291,0.367,0.324,0.267,0.245,0.476,0.524,0.604,-0.434,-0.435,-0.419,0.231,0
P46781,0.258,0.124,0.619,0.124,0.474,0.418,0.036,0.067,0.124,0.258,0.619,0.423,0.314,0.304,0.062,0.015,0.541,0.227,0.232,0.433,0.314,0.149,0.175,0.387,0.613,0.363,-0.235,-0.822,-0.167,0.167,1
Q5HY92,0.101,0.084,0.814,0.3,0.478,0.419,0.096,0.078,0.084,0.101,0.814,0.484,0.233,0.397,0.196,0.036,0.386,0.24,0.374,0.37,0.302,0.386,0.29,0.572,0.428,0.15,-0.534,-0.018,-0.421,0.271,0
Q96EE3,0.144,0.094,0.761,0.264,0.45,0.356,0.036,0.081,0.094,0.144,0.761,0.475,0.228,0.386,0.197,0.05,0.364,0.294,0.342,0.414,0.264,0.311,0.297,0.581,0.419,0.393,-0.469,-0.075,-0.274,0.077,1
Q5SRE5,0.123,0.105,0.772,0.256,0.494,0.423,0.043,0.072,0.105,0.123,0.772,0.532,0.189,0.356,0.144,0.053,0.488,0.269,0.243,0.448,0.272,0.273,0.224,0.464,0.536,-0.135,-0.542,-0.338,-0.425,0.18,1
Q2M1V0,0.147,0.094,0.759,0.229,0.51,0.445,0.114,0.057,0.094,0.147,0.759,0.547,0.282,0.343,0.131,0.049,0.473,0.237,0.29,0.42,0.335,0.29,0.265,0.518,0.482,0.172,-0.459,-0.158,-0.21,0.278,0
P11226,0.105,0.113,0.782,0.21,0.516,0.448,0.081,0.06,0.113,0.105,0.782,0.48,0.242,0.411,0.133,0.044,0.395,0.226,0.379,0.448,0.367,0.242,0.298,0.585,0.415,0.359,-0.755,-0.039,-0.535,0.143,1
Q5VXJ0,0.118,0.08,0.802,0.226,0.506,0.404,0.058,0.128,0.08,0.118,0.802,0.509,0.246,0.296,0.108,0.045,0.406,0.301,0.293,0.429,0.313,0.286,0.201,0.471,0.529,-0.229,-0.257,-0.157,-0.26,0.05,0
Q8TBF4,0.194,0.171,0.636,0.217,0.378,0.318,0.051,0.078,0.171,0.194,0.636,0.378,0.286,0.387,0.138,0.032,0.461,0.226,0.313,0.332,0.424,0.24,0.24,0.47,0.53,0.726,-0.224,-0.278,-0.5,0.147,1
Q6ZNB6,0.2,0.098,0.703,0.297,0.379,0.335,0.081,0.046,0.098,0.2,0.703,0.484,0.307,0.326,0.108,0.137,0.437,0.302,0.261,0.408,0.348,0.26,0.303,0.546,0.454,0.677,-0.465,0.065,-0.114,-0.11,0
Q6P996,0.127,0.138,0.735,0.212,0.492,0.44,0.057,0.056,0.138,0.127,0.735,0.486,0.214,0.383,0.122,0.039,0.48,0.235,0.286,0.437,0.329,0.244,0.239,0.496,0.504,0.174,-0.605,-0.291,-0.526,0.194,0
Q5EBL2,0.125,0.064,0.811,0.263,0.537,0.5,0.129,0.047,0.064,0.125,0.811,0.537,0.265,0.373,0.133,0.044,0.46,0.213,0.327,0.439,0.306,0.331,0.325,0.599,0.401,0.253,-0.761,-0.011,-0.247,0.35,0
P61247,0.216,0.121,0.663,0.186,0.439,0.352,0.027,0.064,0.121,0.216,0.663,0.443,0.28,0.348,0.106,0.057,0.477,0.277,0.246,0.386,0.375,0.212,0.182,0.462,0.538,0.421,-0.425,-0.551,-0.275,0.054,1
Q58G82,0.16,0.085,0.755,0.282,0.42,0.335,0.027,0.069,0.085,0.16,0.755,0.452,0.239,0.367,0.181,0.069,0.452,0.277,0.271,0.378,0.287,0.298,0.234,0.457,0.543,0.214,-0.401,-0.414,-0.342,-0.013,0
Q3LXA3,0.11,0.094,0.797,0.17,0.603,0.551,0.042,0.03,0.094,0.11,0.797,0.558,0.174,0.353,0.125,0.04,0.51,0.207,0.283,0.543,0.235,0.219,0.351,0.583,0.417,0.071,-1.077,-0.283,-0.454,0.312,1
P31749,0.165,0.16,0.675,0.198,0.45,0.346,0.046,0.108,0.16,0.165,0.675,0.465,0.238,0.369,0.11,0.048,0.473,0.285,0.242,0.385,0.344,0.254,0.177,0.429,0.571,0.221,-0.242,-0.331,-0.372,0.053,1
Q5VV17,0.125,0.119,0.757,0.185,0.553,0.507,0.119,0.062,0.119,0.125,0.757,0.526,0.262,0.333,0.102,0.035,0.478,0.185,0.337,0.441,0.314,0.299,0.331,0.59,0.41,0.301,-0.584,0.059,-0.269,0.383,0
Q6NXE6,0.13,0.12,0.75,0.224,0.499,0.447,0.03,0.036,0.12,0.13,0.75,0.519,0.188,0.365,0.11,0.06,0.513,0.24,0.248,0.485,0.293,0.2,0.287,0.527,0.473,0.283,-0.725,-0.25,-0.461,0.206,0
Q5JU67,0.179,0.146,0.675,0.223,0.412,0.354,0.044,0.044,0.146,0.179,0.675,0.433,0.263,0.381,0.09,0.031,0.615,0.183,0.202,0.348,0.437,0.192,0.14,0.367,0.633,0.382,-0.198,-0.647,-0.485,0.24,0
P01889,0.135,0.135,0.729,0.254,0.461,0.403,0.05,0.088,0.135,0.135,0.729,0.47,0.199,0.403,0.138,0.03,0.461,0.268,0.271,0.414,0.282,0.271,0.268,0.528,0.472,0.4,-0.461,-0.267,-0.403,0.161,1
Q5U623,0.144,0.122,0.735,0.282,0.368,0.32,0.062,0.044,0.122,0.144,0.735,0.435,0.29,0.389,0.202,0.045,0.4,0.251,0.349,0.317,0.396,0.312,0.232,0.544,0.456,0.569,-0.356,-0.166,-0.574,0.096,0
Q9H6L5,0.099,0.157,0.744,0.229,0.489,0.416,0.058,0.068,0.157,0.099,0.744,0.493,0.183,0.414,0.141,0.036,0.479,0.217,0.304,0.435,0.346,0.241,0.264,0.497,0.503,0.189,-0.527,-0.132,-0.612,0.259,1
Q5VWW1,0.102,0.086,0.812,0.208,0.565,0.502,0.098,0.086,0.086,0.102,0.812,0.494,0.239,0.373,0.114,0.043,0.353,0.259,0.388,0.455,0.298,0.314,0.306,0.608,0.392,0.132,-0.802,0.024,-0.361,0.168,0
O95786,0.152,0.145,0.703,0.217,0.442,0.359,0.041,0.094,0.145,0.152,0.703,0.477,0.237,0.345,0.106,0.05,0.466,0.297,0.237,0.408,0.372,0.221,0.183,0.419,0.581,0.118,-0.286,-0.328,-0.459,0.065,1
O15162,0.079,0.101,0.821,0.258,0.519,0.437,0.123,0.094,0.101,0.079,0.821,0.535,0.245,0.349,0.094,0.079,0.333,0.321,0.346,0.431,0.377,0.289,0.236,0.553,0.447,-0.069,-0.492,0.134,-0.411,0.089,1
Q3SX64,0.138,0.062,0.799,0.26,0.522,0.474,0.166,0.059,0.062,0.138,0.799,0.554,0.322,0.353,0.173,0.048,0.374,0.246,0.381,0.363,0.301,0.408,0.287,0.637,0.363,0.248,-0.599,-0.029,-0.182,0.324,0
Q17RH7,0.173,0.086,0.741,0.41,0.302,0.245,0.108,0.072,0.086,0.173,0.741,0.302,0.309,0.482,0.029,0.014,0.691,0.115,0.194,0.18,0.626,0.223,0.043,0.245,0.755,0.676,0.504,-0.716,-0.296,0.396,0
Q6W3E5,0.143,0.083,0.774,0.183,0.555,0.435,0.072,0.122,0.083,0.143,0.774,0.589,0.25,0.263,0.112,0.042,0.441,0.331,0.228,0.47,0.274,0.279,0.164,0.425,0.575,-0.557,-0.297,-0.329,-0.163,0.131,0
P57764,0.105,0.126,0.769,0.236,0.521,0.459,0.062,0.058,0.126,0.105,0.769,0.502,0.18,0.415,0.136,0.037,0.492,0.219,0.289,0.459,0.298,0.256,0.262,0.502,0.498,0.072,-0.688,-0.267,-0.524,0.252,1
Q6P1K8,0.157,0.129,0.714,0.251,0.443,0.38,0.053,0.073,0.129,0.157,0.714,0.489,0.23,0.357,0.137,0.073,0.443,0.296,0.261,0.413,0.291,0.301,0.235,0.478,0.522,0.178,-0.477,-0.161,-0.339,0.058,0
Q5JUW0,0.158,0.164,0.678,0.257,0.409,0.298,0.035,0.129,0.164,0.158,0.678,0.427,0.205,0.409,0.14,0.041,0.462,0.281,0.257,0.368,0.363,0.251,0.205,0.433,0.567,0.305,-0.115,-0.29,-0.395,0.077,0
Q6P582,0.127,0.089,0.785,0.196,0.576,0.532,0.095,0.019,0.089,0.127,0.785,0.5,0.234,0.392,0.127,0.038,0.519,0.133,0.348,0.456,0.31,0.266,0.348,0.582,0.418,0.333,-0.932,-0.243,-0.407,0.428,0
Q68D51,0.169,0.133,0.698,0.234,0.422,0.347,0.067,0.088,0.133,0.169,0.698,0.448,0.278,0.356,0.136,0.042,0.45,0.262,0.288,0.363,0.372,0.27,0.193,0.445,0.555,0.25,-0.203,-0.303,-0.394,0.115,0
P30556,0.117,0.053,0.83,0.217,0.563,0.446,0.047,0.139,0.053,0.117,0.83,0.613,0.214,0.228,0.125,0.053,0.37,0.396,0.234,0.518,0.231,0.262,0.195,0.44,0.56,-0.798,-0.411,-0.286,-0.263,0.053,1
Q13114,0.173,0.129,0.699,0.259,0.403,0.335,0.04,0.065,0.129,0.173,0.699,0.449,0.25,0.357,0.132,0.077,0.474,0.261,0.266,0.384,0.349,0.259,0.232,0.472,0.528,0.387,-0.348,-0.22,-0.364,0.053,1
P62241,0.279,0.096,0.625,0.192,0.385,0.351,0.034,0.077,0.096,0.279,0.625,0.37,0.361,0.298,0.091,0.029,0.514,0.245,0.24,0.37,0.356,0.197,0.207,0.404,0.596,0.645,-0.167,-0.718,-0.104,0.007,1
Q6GMV3,0.179,0.1,0.721,0.179,0.529,0.457,0.064,0.071,0.1,0.179,0.721,0.55,0.257,0.279,0.071,0.043,0.6,0.229,0.171,0.45,0.307,0.243,0.214,0.443,0.557,-0.022,-0.42,-0.429,-0.126,0.277,0
Q6Y2X3,0.161,0.124,0.715,0.194,0.491,0.405,0.075,0.085,0.124,0.161,0.715,0.454,0.266,0.372,0.108,0.043,0.469,0.208,0.323,0.419,0.322,0.252,0.264,0.499,0.501,0.384,-0.34,-0.171,-0.247,0.159,0
Q6PEY0,0.13,0.076,0.794,0.224,0.547,0.422,0.04,0.148,0.076,0.13,0.794,0.587,0.193,0.256,0.103,0.072,0.386,0.404,0.211,0.534,0.247,0.229,0.188,0.43,0.57,-0.737,-0.414,-0.285,-0.235,-0.035,0
Q8TEQ6,0.144,0.123,0.733,0.239,0.462,0.396,0.056,0.078,0.123,0.144,0.733,0.483,0.231,0.374,0.142,0.04,0.456,0.263,0.281,0.42,0.318,0.271,0.244,0.494,0.506,0.215,-0.445,-0.215,-0.38,0.145,1
Q8WUM0,0.112,0.134,0.753,0.247,0.467,0.401,0.042,0.08,0.134,0.112,0.753,0.472,0.195,0.386,0.15,0.034,0.447,0.252,0.301,0.422,0.314,0.265,0.246,0.484,0.516,0.113,-0.458,-0.214,-0.557,0.18,1
P42677,0.226,0.071,0.702,0.286,0.405,0.345,0.071,0.06,0.071,0.226,0.702,0.488,0.31,0.321,0.143,0.095,0.464,0.298,0.238,0.381,0.321,0.31,0.238,0.5,0.5,0.361,-0.458,-0.28,-0.068,0.037,1
Q15198,0.141,0.107,0.752,0.264,0.461,0.4,0.059,0.085,0.107,0.141,0.752,0.496,0.227,0.379,0.155,0.035,0.397,0.325,0.277,0.411,0.315,0.283,0.216,0.523,0.477,0.131,-0.533,-0.344,-0.435,0.122,0
P01571,0.116,0.116,0.767,0.275,0.455,0.354,0.026,0.09,0.116,0.116,0.767,0.497,0.18,0.37,0.148,0.063,0.508,0.259,0.233,0.418,0.302,0.254,0.217,0.407,0.593,-0.064,-0.343,-0.327,-0.502,0.107,1
Q6UX07,0.133,0.103,0.764,0.175,0.557,0.507,0.077,0.058,0.103,0.133,0.764,0.541,0.241,0.308,0.101,0.037,0.509,0.207,0.284,0.491,0.263,0.239,0.292,0.536,0.464,0.067,-0.617,-0.221,-0.328,0.273,0
Q5VUJ9,0.171,0.138,0.691,0.178,0.502,0.442,0.074,0.056,0.138,0.171,0.691,0.457,0.257,0.409,0.134,0.026,0.457,0.23,0.312,0.416,0.283,0.264,0.257,0.494,0.506,0.446,-0.566,-0.421,-0.361,0.193,0
Q9C000,0.139,0.116,0.745,0.234,0.494,0.419,0.067,0.076,0.116,0.139,0.745,0.511,0.223,0.365,0.133,0.044,0.493,0.243,0.264,0.432,0.303,0.273,0.228,0.459,0.541,0.0,-0.439,-0.287,-0.35,0.209,1
P46782,0.181,0.108,0.711,0.176,0.475,0.417,0.034,0.059,0.108,0.181,0.711,0.495,0.275,0.294,0.108,0.039,0.49,0.27,0.24,0.431,0.309,0.211,0.235,0.49,0.51,0.316,-0.428,-0.468,-0.297,0.118,1
Q6UXC1,0.114,0.105,0.78,0.234,0.53,0.456,0.077,0.086,0.105,0.114,0.78,0.504,0.209,0.398,0.131,0.039,0.428,0.235,0.337,0.479,0.261,0.275,0.318,0.573,0.427,0.246,-0.6,0.004,-0.288,0.194,0
P62847,0.301,0.083,0.617,0.165,0.414,0.323,0.038,0.075,0.083,0.301,0.617,0.429,0.376,0.301,0.113,0.045,0.519,0.271,0.211,0.331,0.353,0.256,0.15,0.421,0.579,0.565,-0.242,-0.806,0.046,0.031,1
P62851,0.272,0.112,0.616,0.136,0.44,0.416,0.048,0.04,0.112,0.272,0.616,0.408,0.36,0.288,0.088,0.016,0.528,0.176,0.296,0.392,0.432,0.176,0.24,0.504,0.496,0.655,-0.426,-0.568,-0.178,0.292,1
Q5T7N2,0.17,0.22,0.61,0.207,0.362,0.302,0.021,0.047,0.22,0.17,0.61,0.385,0.232,0.454,0.156,0.032,0.509,0.223,0.268,0.327,0.415,0.228,0.187,0.423,0.577,0.735,-0.334,-0.428,-0.729,0.099,0
Q14409,0.108,0.101,0.79,0.226,0.53,0.443,0.042,0.087,0.101,0.108,0.79,0.53,0.184,0.36,0.136,0.054,0.412,0.315,0.273,0.488,0.268,0.25,0.268,0.514,0.486,-0.075,-0.7,-0.232,-0.433,0.068,0
Q16378,0.142,0.112,0.746,0.231,0.485,0.425,0.187,0.06,0.112,0.142,0.746,0.448,0.358,0.396,0.112,0.007,0.425,0.134,0.44,0.291,0.448,0.351,0.179,0.537,0.463,0.379,-0.025,-0.046,-0.261,0.527,0
P23396,0.169,0.107,0.724,0.165,0.547,0.49,0.07,0.058,0.107,0.169,0.724,0.519,0.251,0.329,0.095,0.037,0.461,0.288,0.251,0.465,0.305,0.226,0.222,0.494,0.506,0.032,-0.713,-0.537,-0.341,0.197,1
Q68DY1,0.246,0.11,0.644,0.29,0.316,0.259,0.038,0.083,0.11,0.246,0.644,0.415,0.322,0.352,0.159,0.078,0.466,0.311,0.223,0.33,0.354,0.312,0.222,0.436,0.564,0.666,-0.242,-0.264,-0.145,-0.11,0
Q6MZT1,0.171,0.125,0.704,0.284,0.397,0.335,0.054,0.043,0.125,0.171,0.704,0.432,0.249,0.409,0.175,0.074,0.486,0.21,0.304,0.346,0.323,0.304,0.261,0.467,0.533,0.524,-0.378,-0.277,-0.387,0.145,0
Q6H9L7,0.121,0.168,0.711,0.229,0.454,0.398,0.103,0.063,0.168,0.121,0.711,0.503,0.252,0.401,0.135,0.044,0.473,0.208,0.319,0.37,0.385,0.291,0.222,0.525,0.475,0.356,-0.335,-0.053,-0.467,0.241,0
P62979,0.25,0.122,0.628,0.224,0.372,0.327,0.038,0.071,0.122,0.25,0.628,0.41,0.321,0.333,0.109,0.051,0.487,0.276,0.237,0.359,0.391,0.224,0.186,0.429,0.571,0.556,-0.276,-0.529,-0.242,0.041,1
Q3ZCX4,0.213,0.13,0.657,0.276,0.345,0.272,0.034,0.079,0.13,0.213,0.657,0.407,0.283,0.368,0.137,0.085,0.483,0.289,0.228,0.349,0.354,0.283,0.238,0.425,0.575,0.644,-0.235,-0.204,-0.235,-0.087,0
